,season,venue,winner_runs,date,winner,team1,team2,winner_wickets,player_of_match,matchId
0,2008,M Chinnaswamy Stadium,140.0,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,0.0,BB McCullum,335982
1,2008,"Punjab Cricket Association Stadium, Mohali",33.0,2008-04-19,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,0.0,MEK Hussey,335983
2,2008,Feroz Shah Kotla,0.0,2008-04-19,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,9.0,MF Maharoof,335984
3,2008,Eden Gardens,0.0,2008-04-20,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,5.0,DJ Hussey,335986
4,2008,Wankhede Stadium,0.0,2008-04-20,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,5.0,MV Boucher,335985
5,2008,Sawai Mansingh Stadium,0.0,2008-04-21,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,6.0,SR Watson,335987
6,2008,"Rajiv Gandhi International Stadium, Uppal",0.0,2008-04-22,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,9.0,V Sehwag,335988
7,2008,"MA Chidambaram Stadium, Chepauk",6.0,2008-04-23,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,0.0,ML Hayden,335989
8,2008,"Rajiv Gandhi International Stadium, Uppal",0.0,2008-04-24,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,3.0,YK Pathan,335990
9,2008,"Punjab Cricket Association Stadium, Mohali",66.0,2008-04-25,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,0.0,KC Sangakkara,335991
10,2008,"MA Chidambaram Stadium, Chepauk",0.0,2008-04-26,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,9.0,JDP Oram,335993
11,2008,M Chinnaswamy Stadium,0.0,2008-04-26,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,7.0,SR Watson,335992
12,2008,Dr DY Patil Sports Academy,0.0,2008-04-27,Deccan Chargers,Mumbai Indians,Deccan Chargers,10.0,AC Gilchrist,335994
13,2008,"Punjab Cricket Association Stadium, Mohali",0.0,2008-04-27,Kings XI Punjab,Kings XI Punjab,Delhi Daredevils,4.0,SM Katich,335995
14,2008,M Chinnaswamy Stadium,13.0,2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,0.0,MS Dhoni,335996
15,2008,Eden Gardens,0.0,2008-04-29,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,7.0,ST Jayasuriya,335997
16,2008,Feroz Shah Kotla,10.0,2008-04-30,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bangalore,0.0,GD McGrath,335998
17,2008,"Rajiv Gandhi International Stadium, Uppal",0.0,2008-05-01,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,7.0,SE Marsh,335999
18,2008,Sawai Mansingh Stadium,45.0,2008-05-01,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,0.0,SA Asnodkar,336000
19,2008,"MA Chidambaram Stadium, Chepauk",0.0,2008-05-02,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,8.0,V Sehwag,336001
20,2008,M Chinnaswamy Stadium,3.0,2008-05-03,Royal Challengers Bangalore,Royal Challengers Bangalore,Deccan Chargers,0.0,P Kumar,336034
21,2008,"Punjab Cricket Association Stadium, Mohali",9.0,2008-05-03,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,0.0,IK Pathan,336003
22,2008,Dr DY Patil Sports Academy,29.0,2008-05-04,Mumbai Indians,Mumbai Indians,Delhi Daredevils,0.0,SM Pollock,336004
23,2008,Sawai Mansingh Stadium,0.0,2008-05-04,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,8.0,Sohail Tanvir,336005
24,2008,M Chinnaswamy Stadium,0.0,2008-05-05,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,6.0,S Sreesanth,336006
25,2008,"MA Chidambaram Stadium, Chepauk",0.0,2008-05-06,Deccan Chargers,Chennai Super Kings,Deccan Chargers,7.0,AC Gilchrist,336007
26,2008,Dr DY Patil Sports Academy,0.0,2008-05-07,Mumbai Indians,Mumbai Indians,Rajasthan Royals,7.0,A Nehra,336008
27,2008,Eden Gardens,5.0,2008-05-08,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,0.0,SC Ganguly,336010
28,2008,Feroz Shah Kotla,0.0,2008-05-08,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,4.0,MS Dhoni,336009
29,2008,Sawai Mansingh Stadium,0.0,2008-05-09,Rajasthan Royals,Rajasthan Royals,Deccan Chargers,8.0,YK Pathan,336011
30,2008,"MA Chidambaram Stadium, Chepauk",18.0,2008-05-10,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,0.0,L Balaji,336013
31,2008,"Rajiv Gandhi International Stadium, Uppal",23.0,2008-05-11,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,0.0,SC Ganguly,336014
32,2008,Sawai Mansingh Stadium,0.0,2008-05-11,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,3.0,SR Watson,336015
33,2008,"Punjab Cricket Association Stadium, Mohali",0.0,2008-05-12,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,9.0,SE Marsh,336016
34,2008,Eden Gardens,23.0,2008-05-13,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,0.0,Shoaib Akhtar,336017
35,2008,Wankhede Stadium,0.0,2008-05-14,Mumbai Indians,Mumbai Indians,Chennai Super Kings,9.0,ST Jayasuriya,336018
36,2008,Feroz Shah Kotla,12.0,2008-05-15,Delhi Daredevils,Delhi Daredevils,Deccan Chargers,0.0,A Mishra,336020
37,2008,Wankhede Stadium,0.0,2008-05-16,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,8.0,SM Pollock,336021
38,2008,Sawai Mansingh Stadium,65.0,2008-05-17,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,0.0,GC Smith,336023
39,2008,Feroz Shah Kotla,6.0,2008-05-17,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,0.0,DPMD Jayawardene,336022
40,2008,Eden Gardens,3.0,2008-05-18,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,0.0,M Ntini,336025
41,2008,"Rajiv Gandhi International Stadium, Uppal",25.0,2008-05-18,Mumbai Indians,Deccan Chargers,Mumbai Indians,0.0,DJ Bravo,336024
42,2008,M Chinnaswamy Stadium,0.0,2008-05-19,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,5.0,SP Goswami,336026
43,2008,Eden Gardens,0.0,2008-05-20,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,6.0,YK Pathan,336027
44,2008,Wankhede Stadium,1.0,2008-05-21,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,0.0,SE Marsh,336028
45,2008,"MA Chidambaram Stadium, Chepauk",14.0,2008-05-21,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,0.0,A Kumble,336029
46,2008,"Punjab Cricket Association Stadium, Mohali",0.0,2008-05-23,Kings XI Punjab,Kings XI Punjab,Deccan Chargers,6.0,SE Marsh,336031
47,2008,Feroz Shah Kotla,0.0,2008-05-24,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,5.0,KD Karthik,336032
48,2008,"MA Chidambaram Stadium, Chepauk",10.0,2008-05-24,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0.0,JA Morkel,336033
49,2008,"Rajiv Gandhi International Stadium, Uppal",0.0,2008-05-25,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,5.0,R Vinay Kumar,336002
50,2008,Eden Gardens,0.0,2008-05-25,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,3.0,Umar Gul,336035
51,2008,Sawai Mansingh Stadium,0.0,2008-05-26,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,5.0,Sohail Tanvir,336036
52,2008,"Rajiv Gandhi International Stadium, Uppal",0.0,2008-05-27,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,7.0,SK Raina,336037
53,2008,"Punjab Cricket Association Stadium, Mohali",41.0,2008-05-28,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,0.0,SE Marsh,336019
54,2008,M Chinnaswamy Stadium,0.0,2008-05-28,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,9.0,CRD Fernando,336012
55,2008,Wankhede Stadium,105.0,2008-05-30,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,0.0,SR Watson,336038
56,2008,Wankhede Stadium,0.0,2008-05-31,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,9.0,M Ntini,336039
57,2008,Dr DY Patil Sports Academy,0.0,2008-06-01,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,3.0,YK Pathan,336040
